Subject,Trial,VisType,Damage,Distance,TimeD,InOut
1,4,Ensemble,2,223.285,0,0
1,5,Ensemble,6,-93.035,0,1
1,6,Ensemble,2,-277.822,1,1
1,7,Ensemble,2,148.856,0,1
1,8,Ensemble,2,-223.285,0,0
1,9,Ensemble,3,-69.456,1,1
1,10,Ensemble,2,520.917,1,0
1,11,Ensemble,3,277.822,1,1
1,12,Ensemble,5,-148.856,0,1
1,13,Ensemble,3,-353.534,0,0
1,14,Ensemble,3,69.456,1,1
1,15,Ensemble,4,-277.822,1,1
1,16,Ensemble,7,-37.214,0,1
1,17,Ensemble,1,416.733,1,0
1,18,Ensemble,3,-279.106,0,0
1,19,Ensemble,2,-416.733,1,0
1,20,Ensemble,3,-279.106,0,0
1,21,Ensemble,3,416.733,1,0
1,22,Ensemble,2,659.828,1,0
1,23,Ensemble,4,277.822,1,1
1,24,Ensemble,2,-353.534,0,0
1,25,Ensemble,2,353.534,0,0
1,26,Ensemble,4,353.534,0,0
1,27,Ensemble,7,93.035,0,1
1,28,Ensemble,7,37.214,0,1
1,29,Ensemble,1,353.534,0,0
1,30,Ensemble,3,-277.822,1,1
1,31,Ensemble,1,659.828,1,0
1,32,Ensemble,7,-93.035,0,1
1,33,Ensemble,7,-37.214,0,1
1,34,Ensemble,5,148.856,0,1
1,35,Ensemble,7,37.214,0,1
1,36,Ensemble,3,-520.917,1,0
1,37,Ensemble,3,-659.828,1,0
1,38,Ensemble,5,-148.856,0,1
1,39,Ensemble,2,-659.828,1,0
1,40,Ensemble,2,-223.285,0,0
1,41,Ensemble,6,-69.456,1,1
1,42,Ensemble,6,173.639,1,1
1,43,Ensemble,5,223.285,0,0
1,44,Ensemble,2,279.106,0,0
1,45,Ensemble,7,37.214,0,1
1,46,Ensemble,6,-148.856,0,1
1,47,Ensemble,5,-173.639,1,1
1,48,Ensemble,3,659.828,1,0
1,49,Ensemble,6,-69.456,1,1
1,50,Ensemble,5,279.106,0,0
1,51,Ensemble,6,69.456,1,1
1,52,Ensemble,3,-520.917,1,0
1,53,Ensemble,5,173.639,1,1
1,54,Ensemble,6,148.856,0,1
1,55,Ensemble,6,-148.856,0,1
1,56,Ensemble,5,277.822,1,1
1,57,Ensemble,7,93.035,0,1
1,58,Ensemble,6,69.456,1,1
1,59,Ensemble,5,148.856,0,1
1,60,Ensemble,7,93.035,0,1
1,61,Ensemble,3,277.822,1,1
1,62,Ensemble,5,-173.639,1,1
1,63,Ensemble,3,416.733,1,0
1,64,Ensemble,2,520.917,1,0
1,65,Ensemble,5,-223.285,0,0
1,66,Ensemble,3,416.733,1,0
1,67,Ensemble,4,-279.106,0,0
1,68,Ensemble,6,-69.456,1,1
1,69,Ensemble,6,-173.639,1,1
1,70,Ensemble,4,279.106,0,0
1,71,Ensemble,5,93.035,0,1
1,72,Ensemble,5,-148.856,0,1
1,73,Ensemble,7,93.035,0,1
1,74,Ensemble,5,173.639,1,1
1,75,Ensemble,1,-659.828,1,0
1,76,Ensemble,7,-37.214,0,1
1,77,Ensemble,3,-223.285,0,0
1,78,Ensemble,3,223.285,0,0
1,79,Ensemble,4,223.285,0,0
1,80,Ensemble,7,-37.214,0,1
1,81,Ensemble,2,-520.917,1,0
1,82,Ensemble,3,-416.733,1,0
1,83,Ensemble,5,173.639,1,1
1,84,Ensemble,2,-520.917,1,0
1,85,Ensemble,2,659.828,1,0
1,86,Ensemble,7,-93.035,0,1
1,87,Ensemble,2,148.856,0,1
1,88,Ensemble,1,-520.917,1,0
1,89,Ensemble,2,279.106,0,0
1,90,Ensemble,6,173.639,1,1
1,91,Ensemble,2,279.106,0,0
1,92,Ensemble,1,-659.828,1,0
1,93,Ensemble,2,-416.733,1,0
1,94,Ensemble,7,37.214,0,1
1,95,Ensemble,6,-279.106,0,0
1,96,Ensemble,5,-223.285,0,0
1,97,Ensemble,4,-416.733,1,0
1,98,Ensemble,3,-416.733,1,0
1,99,Ensemble,6,-93.035,0,1
1,100,Ensemble,2,520.917,1,0
1,101,Ensemble,5,37.214,0,1
1,102,Ensemble,5,-173.639,1,1
1,103,Ensemble,5,-173.639,1,1
1,104,Ensemble,7,-93.035,0,1
1,105,Ensemble,5,-277.822,1,1
1,106,Ensemble,2,-353.534,0,0
1,107,Ensemble,7,-148.856,0,1
1,108,Ensemble,3,-353.534,0,0
1,109,Ensemble,2,416.733,1,0
